Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
pants,1.625562,231.45338,1697.592911,2585.489324,3950.20703
pants,1.631812,160.467067,1637.903207,2623.482713,4196.934727
pants,1.638062,223.484209,1697.687638,2581.266003,4418.399017
pants,1.644312,223.228209,1936.446528,2902.706185,4492.913379
pants,1.650562,213.703006,1862.756829,3246.942185,4613.403784
pants,1.656812,2038.142135,2715.653103,4470.790013,5193.664781
pants,1.663062,2011.440468,2795.449121,4625.747871,5146.619545
pants,1.669312,2142.122512,2617.20684,4823.816899,5156.922468
pants,1.675562,2152.560925,2337.262872,4476.723082,5194.824813
pants,1.681812,1819.5107,3062.386285,4463.614649,5256.691252
pants,1.688062,1467.443703,2574.648352,4572.097446,5351.098978
pants,1.694312,1307.202533,2459.219657,4491.599226,5318.168549
pants,1.700562,1961.678148,3191.425155,4511.965983,5225.452621
pants,1.706812,2101.850962,3824.275901,--undefined--,--undefined--
pants,1.713062,1474.169912,2502.636715,4058.569154,4949.934297
look,1.717313,1508.90196,2501.017703,3941.121652,4938.772776
look,1.723563,572.347404,2048.562341,3819.601051,4891.367959
look,1.729813,1248.346732,2150.403415,3879.877865,4806.232506
look,1.736063,269.861449,1892.289425,2297.184648,4338.48475
look,1.742313,317.768528,1562.076201,2400.680627,4328.063601
look,1.748563,353.702744,1668.124682,2486.383589,4539.040125
look,1.754813,372.497731,1707.853228,2416.683821,4436.624128
look,1.761063,380.970388,1813.291489,2134.585399,4433.439222
look,1.767313,366.712902,1061.86136,2001.176138,4418.257632
look,1.773563,357.095025,1753.735749,3626.861447,4517.206177
look,1.779813,392.45521,1647.599464,3635.565779,4521.522104
look,1.786063,403.971391,1514.849572,3350.955303,4542.127658
look,1.792313,420.014055,1321.642072,2971.198583,4560.815844
look,1.798563,458.612628,1322.718711,2955.905995,4487.533378
look,1.804813,542.279461,1274.663095,2864.34957,4450.130087
look,1.811063,584.672708,1249.437997,2846.41734,4460.366772
look,1.817313,632.932309,1218.523465,2881.018129,3982.815451
look,1.823563,661.466894,1252.007199,2970.910861,3812.282467
look,1.829813,668.315859,1242.732202,2927.804322,3820.13035
look,1.836063,680.964085,1253.927177,2918.336699,3736.493162
look,1.842313,684.863609,1267.726846,2822.810678,3642.060391
look,1.848563,680.137965,1273.702294,2840.278047,3645.242653
look,1.854813,672.553304,1283.192851,2869.470564,3833.642535
look,1.861063,654.704262,1284.185612,2919.977599,4218.00572
look,1.867313,618.464508,1280.30281,2953.623105,3758.4206
look,1.873563,580.011415,1271.1288,2832.446655,3821.292605
look,1.879813,536.86865,1270.10313,2729.174436,3875.718549
look,1.886063,489.778031,1266.652355,2811.570953,4055.002853
look,1.892313,453.780649,1248.783036,2828.041914,4030.488418
look,1.898563,422.436375,1269.876734,2894.117462,4055.999837
look,1.904813,412.200656,1279.366122,2812.636831,4109.497199
look,1.911063,399.38259,1268.980383,2714.024983,3957.129827
look,1.917313,418.578172,1254.608824,2827.345323,3982.722146
look,1.923563,604.568265,1268.295396,2981.543847,3991.536922
look,1.929813,645.976271,1333.092398,3116.139133,4002.601595
look,1.936063,740.003689,1476.095183,3104.729316,4117.49971
look,1.942313,748.812494,1420.639115,2899.092379,4119.049014
look,1.948563,645.904095,1409.809431,2812.789302,3977.882074
look,1.954813,639.853639,1284.0702,2775.935188,3952.103971
look,1.961063,802.303371,1330.480937,2864.476079,3850.988606
look,1.967313,776.046333,1534.77593,2811.161553,3887.833238
look,1.973563,606.119793,1421.082665,2769.764805,3827.221579
look,1.979813,569.501218,1309.767082,2824.222512,3826.058445
great,1.986063,820.71943,1280.352941,2865.082941,4032.565154
great,1.992313,491.37494,1332.712802,2834.143372,4580.871046
great,1.998563,512.232798,1286.812608,2409.31614,3112.584622
great,2.004813,540.661044,1260.471973,2555.639792,3146.689924
great,2.011063,263.249928,1193.602916,2667.020873,3179.775657
great,2.017313,1195.767215,2387.824523,--undefined--,--undefined--
great,2.023563,253.672449,1264.507714,2485.471964,3164.61859
great,2.029813,334.368561,1250.037761,2382.029229,3056.821305
great,2.036063,364.749101,1016.103787,2400.739873,2975.706365
great,2.042313,390.057975,1109.504448,2462.318217,2963.047324
great,2.048563,452.882918,1110.835129,2481.932644,2995.176442
great,2.054813,511.710801,1057.221563,2438.277514,2998.563105
great,2.061063,523.404548,1227.254538,2441.358167,2950.075274
great,2.067313,535.337881,1304.952017,2487.561127,2843.746478
great,2.073563,535.796128,1396.759743,2561.564702,3026.852776
great,2.079813,540.921237,1416.560916,2427.195959,3116.490253
great,2.086063,554.78985,1422.574387,2395.476652,3062.530691
great,2.092313,571.377866,1413.648063,2381.943942,2933.365961
great,2.098563,585.263485,1417.255579,2373.756151,2841.528103
great,2.104813,602.954801,1478.465582,2328.397338,2938.742518
great,2.111063,618.49962,1580.18722,2306.706927,2951.696426
great,2.117313,621.446866,1794.558418,2380.028682,2762.512475
great,2.123563,621.852536,1784.020001,2336.717248,2773.364526
great,2.129813,595.42546,2463.056016,2509.175477,2709.168997
great,2.136063,551.817351,2187.60069,2554.56574,3139.410356
great,2.142313,544.327192,2453.650529,2768.190234,4720.794864
great,2.148563,524.435379,2470.631104,3017.919099,4684.467763
great,2.154813,516.36253,1926.851748,2482.210797,3066.719393
great,2.161063,521.891199,2233.590309,2526.933206,2979.190333
great,2.167313,493.412944,2150.734842,2616.254232,3077.83946
great,2.173563,476.130972,2100.356962,2670.167942,3096.430828
great,2.179813,451.640096,2008.011834,2749.618853,3368.493243
great,2.186063,484.797527,2121.960003,2714.225638,3415.693069
great,2.192313,457.072326,2129.379146,2698.21354,3465.256106
great,2.198563,449.862201,2616.088089,3060.26351,4203.867124
great,2.204813,434.835544,2652.159359,3112.921371,4177.773076
great,2.211063,459.985826,2656.451881,3118.700301,4205.230714
great,2.217313,448.617278,2626.59691,3067.646685,4145.161569
great,2.223563,417.009227,2592.716395,3064.76786,4164.69548
great,2.229813,416.306571,2570.201794,3015.791571,4197.205305
great,2.236063,427.794534,2423.052132,2967.99476,4194.264953
great,2.242313,354.132793,1583.986311,2910.803891,4035.689462
great,2.248563,331.29877,1651.750754,2800.577474,4067.87296
great,2.254813,360.191991,1891.721661,2867.394581,3978.55461
great,2.261063,302.622482,1829.062088,2885.169749,3943.915623
great,2.267313,321.837807,1723.984319,2897.324225,4042.859609
great,2.273563,334.767187,1621.404674,2879.777142,4058.239536
great,2.279813,285.097179,1589.279933,2862.710949,4027.032007
great,2.286063,920.291845,1627.703793,2844.126872,3968.046549
great,2.292313,882.773893,1807.389397,2854.502603,3939.826882
great,2.298563,852.378965,1827.49355,2804.039268,3947.143592
great,2.304813,789.233128,1880.697435,2803.210774,3895.024126
great,2.311063,871.373435,1775.448395,2837.103175,3852.948639
great,2.317313,1008.274062,1583.742838,2718.457226,3982.210697
great,2.323563,505.113645,1405.409754,2656.419142,3960.719391
great,2.329813,488.478753,1447.124218,2722.214195,3846.592339
great,2.336063,980.368937,1662.422866,2742.620054,3882.617444
great,2.342313,1054.534112,2541.83306,2735.603439,4419.927115
great,2.348563,1183.559209,2539.550643,3358.613516,5144.273002
great,2.354813,1191.006665,2372.329926,3388.933878,4906.039972
great,2.361063,1226.571144,2246.877522,3910.946066,4920.97854
great,2.367313,570.445689,2297.071762,3839.701243,4855.292734
great,2.373563,620.260902,2402.201402,2899.942767,4386.001738
great,2.379813,610.252851,2326.426791,2390.759231,4342.747747
great,2.386063,568.246522,2110.628659,3312.338763,4086.995512
great,2.392313,617.326958,2078.666663,4010.617893,4022.602977
great,2.398563,1308.459733,2232.001396,4156.128282,4646.799199
great,2.404813,1150.836632,2377.763118,3798.298825,4600.671652
great,2.411063,743.860819,2066.716577,2833.124976,4521.87751
